year,site,zone,season,sampling_start,sampling_end,sampling_totalDays,quadrats,A_FORB,A_GRASS,P_FORB,P_GRASS,P_LF-SU,P_S-SHR,P_SHRUB,P_ST-SU,UNK_FORB,UNK_GRASS,YUEL
2005,CDRRC Pasture 3,E,SPRING,2005-06-14,2005-06-15,2,32,21.841512462006296,0.0064679284700753185,0.9363121878383036,4.308627582208492,0,70.70567340139,26.71194186149452,0.3787896875,4.015321585180349,0,0
2005,CDRRC Pasture 3,G,SPRING,2005-06-14,2005-06-15,2,32,22.445910005545805,0.11720670379106184,0.8680878118684819,5.500283998351219,0,12.60894696944724,0.07584217960979975,0,1.2739123553194664,0.012643429653286771,97.496425
2005,CDRRC Pasture 3,S,SPRING,2005-06-16,2005-06-16,1,32,17.229625363604914,0,2.338110204123513,0.3777638848708827,0,84.63132811295478,35.67232840410393,0,0.018548718758065443,0,2.5024
2005,JER Pasture 12A,E,SPRING,2005-06-01,2005-06-02,2,32,5.856352436334028,0,2.2056516365430783,42.89832748135001,0.009775000000000002,20.008037392203374,46.487994071576715,0,0.15041946066700754,0.0014789217514832459,0
2005,JER Pasture 12A,G,SPRING,2005-06-02,2005-06-02,1,32,7.235832705507321,0,4.110629627439255,37.50116238306871,0,37.33664998435099,48.1805109471364,0,0.23190796157344312,0,238.85425937500005
2005,JER Pasture 12A,S,SPRING,2005-06-03,2005-06-03,1,32,2.054112083347754,0,0.6154049297304066,10.416216390426124,0,19.87944855540986,75.9119054846023,0,0.16406900654372397,0,292.2450625
2005,JER Pasture 9,E,SPRING,2005-06-06,2005-06-15,10,32,21.987065849389055,4.89994581066312e-4,0.5991470465561914,5.129147540158502,0,27.740284748171423,76.13759713198954,0,0.020716702115271348,0,216.237309375
2005,JER Pasture 9,G,SPRING,2005-06-07,2005-06-08,2,32,33.379808302277794,0,2.6208748415430096,6.240040742654097,0,11.44056722938244,31.30324800346412,0,0.018489404747724293,0,20.61873125
2005,JER Pasture 9,S,SPRING,2005-06-06,2005-06-15,10,32,21.028263130634116,3.9199566485304964e-4,0.2528210400965083,3.102947251639165,0,61.04639553697128,69.00272369751492,0,3.11302892174958,0,23.1587875
2006,CDRRC Pasture 3,E,FALL,2006-10-25,2006-10-25,1,32,64.33796585463881,5.6795055045033465,8.762054301209261,13.509392245943497,0,9.35691203614753,20.7420206159726,0.00324676875,5.712479289022467,0.25289561950363504,0.01173
2006,CDRRC Pasture 3,E,SPRING,2006-06-15,2006-06-15,1,32,0,0,0,1.6955359315431657,0,0,13.845275315326614,0,0,0,0
2006,CDRRC Pasture 3,G,FALL,2006-10-22,2006-10-23,2,32,52.034023875933066,3.8591299761254474,6.093173075773961,17.14876358598399,0,1.6878072524159708,1.1290698674168576,0,2.487354361412899,0.42944190358694745,67.22518750000002
2006,CDRRC Pasture 3,G,SPRING,2006-06-14,2006-06-14,1,32,0,0,0,3.534204850953364,0,0.004373930090867137,0.2946020148821522,0,0,0,77.73337500000001
2006,CDRRC Pasture 3,S,FALL,2006-10-27,2006-10-27,1,32,15.63797967495399,2.0166544842830523,4.099365624783892,1.9357002586433196,0,14.163448857146339,32.7159105371101,0,1.0956116761847274,0.1258932140950113,1.4105325
2006,CDRRC Pasture 3,S,SPRING,2006-06-15,2006-06-15,1,32,0,0,0,0.04275178849075052,0,0.5139367856768886,15.434902934728788,0,0,0,0.782
2006,JER Pasture 12A,E,FALL,2006-10-29,2006-10-31,3,32,33.45035072266345,0.4241407519098732,2.7963607324559585,96.46410990595093,0,5.222323524471929,41.88567858095408,0,3.396994039601271,0.688438075315451,0
2006,JER Pasture 12A,E,SPRING,2006-06-28,2006-06-28,1,32,0,0,0.027139760718865657,15.598652259007322,0,0.33569913447405275,12.16736902987325,0,0,0,0
2006,JER Pasture 12A,G,FALL,2006-10-31,2006-11-01,2,31,12.219543263711055,0.12338694668397768,6.465924432187976,49.38796497260761,0,4.605239199424617,12.959599786667976,0,4.012556486389692,0.4900478784269645,47.16519483870968
2006,JER Pasture 12A,G,SPRING,2006-06-29,2006-06-29,1,32,0,0,0.08350695605804817,17.91590649924184,0,1.6456911966887604,23.106482239669685,0,0,0,277.08211875
2006,JER Pasture 12A,S,FALL,2006-10-29,2006-10-29,1,32,22.451215355409072,1.2441880548528785,1.8426488123455331,67.87999629853238,0,5.740848106027436,73.69046357861204,0,5.148614287421878,0.490262560616696,22.707325
2006,JER Pasture 12A,S,SPRING,2006-06-29,2006-07-04,6,32,0,0,0,0.4485517648449545,0,0.39365370817804235,41.85040788989898,0,0,0,613.717
2006,JER Pasture 9,E,FALL,2006-11-02,2006-11-03,2,32,17.9468749154443,0.24549812829227532,1.7252967580527734,9.381822355902445,0,0.7173245349022106,34.05986658008805,0,1.0171193852861393,0.1133223792074037,12.179649999999999
2006,JER Pasture 9,E,SPRING,2006-05-19,2006-05-19,1,32,0,0,0,2.4601089169117483,0,0.6621036675050129,44.237193902511684,0,0,0,87.51724999999999
2006,JER Pasture 9,G,FALL,2006-11-03,2006-11-03,1,32,31.007194800610804,0.5025577800032756,6.928456101766309,13.028322034020093,0,0.6647278189606034,18.04921548617089,0,2.1518577034461215,0.17808682757444083,6.47105
2006,JER Pasture 9,G,SPRING,2006-06-12,2006-06-12,1,32,0,0,0.0014569880520682687,4.395909899772931,0,0,26.818814094159727,0,0,0,15.5814875
2006,JER Pasture 9,S,FALL,2006-11-01,2006-11-01,1,32,35.19046954669751,0.24488249484298674,1.2505516414397078,7.713937016266741,0,2.060121072798422,26.30887737469728,0,1.5455370779232356,0.3378719984742765,10.462915625
2006,JER Pasture 9,S,SPRING,2006-06-12,2006-06-12,1,32,0,0,0,0.4671915446269217,0,0,26.755979256106663,0,0,0,40.46962500000001
2007,CDRRC Pasture 3,E,FALL,2007-10-03,2007-10-03,1,32,3.1252848094928,0,4.450443605524277,17.780937193464865,0,57.24643183408375,9.282715805951053,0.4610411625,5.444744414009973,0,0
2007,CDRRC Pasture 3,E,SPRING,2007-05-08,2007-05-08,1,32,33.660228302189886,0.0025011368798818403,3.5665692762057533,5.818907286062582,0,23.065379097104465,18.158289588566703,0.3138543125,12.48931774866797,0,0.034945625
2007,CDRRC Pasture 3,G,FALL,2007-10-03,2007-10-03,1,32,0.051072338728072104,0,1.5024142290555005,13.827213217171439,0,23.381390041991644,0.5631077959200722,0.0010425,3.0760772157273726,0,11.595105000000002
2007,CDRRC Pasture 3,G,SPRING,2007-05-08,2007-05-08,1,32,27.335405179514204,0.6593622099588502,0.9655862941094525,3.146889026361664,0,5.610385453429141,0.5315068877493223,0,2.602330083192518,9.85947834322164e-4,46.298853125
2007,CDRRC Pasture 3,S,FALL,2007-09-28,2007-09-28,1,32,0.6404735092027882,0.04166750000000001,13.326931483581605,7.686013622533424,0,43.62153927458861,40.501151049421416,0,3.084137304001436,0,2.2287
2007,CDRRC Pasture 3,S,SPRING,2007-05-09,2007-05-09,1,32,17.160958920686106,0,4.325114863852462,1.6079350399269354,0,22.757225706181718,23.541249449420313,0,2.198039935180852,0,1.56009
2007,JER Pasture 12A,E,FALL,2007-09-24,2007-09-24,1,32,5.717263326433293,0.02083375,21.354504052918685,53.563529884210936,0,19.39562128227902,21.187899236420535,0,0.01955,0,0.2785875
2007,JER Pasture 12A,E,SPRING,2007-05-01,2007-05-01,1,32,27.35994749469649,0.0052084375,4.372180659733683,17.83822136095584,0,6.460640424754632,13.30867150690459,0,0.5151726327239703,0.06008119615400686,0.11339
2007,JER Pasture 12A,G,FALL,2007-09-19,2007-09-19,1,32,12.07528038400294,0.008148404986397873,19.23371370439768,56.89348350524674,0,16.473126457533585,15.109546472393252,0,0.04405159847074086,0,19.8439325
2007,JER Pasture 12A,G,SPRING,2007-05-01,2007-05-09,9,32,22.732352615039517,0,7.039956431107362,24.3328998136205,0,4.1234096612588935,15.233582723357003,0,0.3214204334602026,0.17918747031920118,248.78899687499998
2007,JER Pasture 12A,S,FALL,2007-09-21,2007-09-21,1,32,0.38619952324456924,0,4.492889849130324,50.74002307027787,0,40.3382968923915,61.02053817041041,0,0,3.6973043787081147e-4,15.018065625
2007,JER Pasture 12A,S,SPRING,2007-05-02,2007-05-02,1,32,17.367190084068422,0,2.61282615800321,5.497448859088165,0,10.811768931550366,26.006120286738806,0,0.6136402356950797,0.016822734923121918,8.110073125000001
2007,JER Pasture 9,E,FALL,2007-09-26,2007-09-26,1,32,0.8785121071017694,0,7.8321551972191195,25.75539673395724,0,19.371316260558515,48.27191630702227,0,3.424110345345117,0,16.856987500000002
2007,JER Pasture 9,E,SPRING,2007-05-07,2007-05-07,1,32,46.491474099710956,0.011880400179438744,1.7140713270852663,6.106326920039572,0,6.213441064707448,26.907867492153173,0,0.1109060374363072,0,11.739530625000002
2007,JER Pasture 9,G,FALL,2007-09-24,2007-09-24,1,32,3.500323947313361,0,4.615105837405819,16.823278112537697,0,1.0084222004947554,27.670978455270053,0,1.1047974312073312,0,0.6598125
2007,JER Pasture 9,G,SPRING,2007-05-04,2007-05-07,4,32,28.858126388889993,1.8167108913063224e-4,1.8609449974100236,5.7884424976417375,0,0.6044224644317027,13.051582828173522,0,0.09822978467206354,0.014049756639090836,1.9515787500000001
2007,JER Pasture 9,S,FALL,2007-09-26,2007-09-26,1,32,0.27677104703065725,0,3.4643625176497053,36.7032592158858,0,1.8303615470138646,30.140130705953613,0,1.8529766414166526,0,7.925081250000001
2007,JER Pasture 9,S,SPRING,2007-05-07,2007-05-07,1,32,23.40897350202141,0.014694179169305814,1.34508231102141,7.382192607203061,0,3.8509720743778355,23.97999238092647,0,3.3013779124879394,0,10.924540000000002
2008,CDRRC Pasture 3,E,FALL,2008-10-27,2008-10-27,1,32,3.5783276287751438,9.95302293089548,7.64231105122754,65.21196598901814,0.008553125,32.1592411281847,22.91371657619729,0.008116921875,0.10446358418149164,0,0
2008,CDRRC Pasture 3,E,SPRING,2008-05-29,2008-05-29,1,32,0,0,0.10967839504338915,5.040648232746941,0,21.775610957382046,24.922718828549353,0,0.0017020177524507281,0,0
2008,CDRRC Pasture 3,G,FALL,2008-10-27,2008-10-28,2,32,6.209757472555022,8.83707502470463,2.9935576620672077,83.7351250551776,0,9.721059626952213,4.4842804134421055,0.0023890624999999997,0.014798705021520081,0,38.02760000000001
2008,CDRRC Pasture 3,G,SPRING,2008-05-29,2008-05-29,1,32,0.6210585194083279,0,0.001638762868463731,8.974440878586606,0,4.031396690626105,0.0053007974996096595,6.95e-4,0,0,19.383825
2008,CDRRC Pasture 3,S,FALL,2008-10-21,2008-10-24,4,32,4.001136028980889,9.739061106606325,11.313248896856933,31.804851910221384,0,41.39224807780376,65.93560071351001,0,0,0,2.9813750000000003
2008,CDRRC Pasture 3,S,SPRING,2008-05-29,2008-05-30,2,32,0.12394033234878295,0,0.18858400067950404,0.5978254760004151,0,22.29521251301717,42.13094240372448,0,0.0036877051303099103,0,1.8768
2008,JER Pasture 12A,E,FALL,2008-10-25,2008-10-29,5,32,8.086907206717102,7.383206047045537,4.52739429314075,184.99680100964216,0,9.896097229139418,18.59662476641904,0,0.012865965517085798,0,0
2008,JER Pasture 12A,E,SPRING,2008-05-21,2008-05-21,1,32,0,0,0.0130233561305763,31.68459305786317,0,4.040551278524238,19.274515215888353,0,0.0014183481270422732,0,0
2008,JER Pasture 12A,G,FALL,2008-10-30,2008-10-31,2,32,17.974641500808406,6.178376414922103,15.04515551664351,201.67321382014282,0.00782,10.957217155197432,27.778199503729134,0,0,0,175.82942500000001
2008,JER Pasture 12A,G,SPRING,2008-05-20,2008-05-20,1,32,0,0,0.04526462268186063,45.17725637957216,0,3.599471094152975,27.631505346190785,0,0,0,41.7245875
2008,JER Pasture 12A,S,FALL,2008-10-29,2008-10-31,3,32,3.6845292375853744,5.746139506009247,1.8311480112430374,111.76658750050144,0,27.351271060742608,62.359193415888754,0,0,0,142.902134375
2008,JER Pasture 12A,S,SPRING,2008-05-27,2008-05-27,1,32,0,0,0.006256052828798894,1.6385446119287261,0,8.707674699024434,67.06405895044615,0,2.8366962540845464e-4,0,111.11324375000001
2008,JER Pasture 9,E,FALL,2008-11-04,2008-11-04,1,32,1.7774783692148746,12.485096775778576,9.243391074858545,171.89325854623917,0,15.917004971296192,41.07363717937926,0,0,0,22.728096875
2008,JER Pasture 9,E,SPRING,2008-05-30,2008-05-30,1,32,0,0,0.19139578683178185,12.863998495228655,0,5.954832448084929,71.31611405244072,0,0,0,60.1344625
2008,JER Pasture 9,G,FALL,2008-10-15,2008-10-16,2,32,8.636189453643114,15.105157572512969,16.9769615207932,155.7477686042054,0,0.36221608564993485,30.505274102945958,0,1.434375e-4,0,5.083
2008,JER Pasture 9,S,FALL,2008-11-03,2008-11-03,1,32,1.123650499050041,9.076479243649231,9.618419938984111,225.72579991607577,0,5.033931692216183,53.035090614075365,0,0,0,20.4087
2008,JER Pasture 9,S,SPRING,2008-05-30,2008-05-30,1,32,0,0,0.18838039982856325,4.811408021660588,0,3.8690145360026627,51.10539644739055,0,0.007766004304005458,0,16.100646875000002
2009,CDRRC Pasture 3,E,FALL,2009-11-04,2009-11-04,1,32,0.08911958707689674,0.22507341205352577,1.4031736204450909,29.652429085227883,0,10.499910532216164,25.148206599109674,0,0,0,0
2009,CDRRC Pasture 3,E,SPRING,2009-04-13,2009-04-13,1,32,0.4351166767611666,0,0.12799941777134444,12.588769045877305,0,9.598316213777254,27.02081525426024,0,0.056249999999999994,0,0
2009,CDRRC Pasture 3,G,FALL,2009-11-04,2009-11-04,1,32,0.776271627629787,0.3482487175758125,0.5125662597280131,82.38929495900585,0,11.210929564153831,2.814091865185904,0,0,0,88.25013750000001
2009,CDRRC Pasture 3,G,SPRING,2009-04-08,2009-04-08,1,32,0.3950368364505066,0,0.28479167027980756,48.72250327136874,0,4.584152105859439,2.8762893831053185,0.00156375,0,0,31.881162500000002
2009,CDRRC Pasture 3,S,FALL,2009-11-04,2009-11-04,1,32,0.04021578782912994,0.15067035972189877,2.4376247072369934,6.33427391452769,0,23.698441204951123,81.72402606609738,0,0,0,6.671437500000001
2009,CDRRC Pasture 3,S,SPRING,2009-04-13,2009-04-13,1,32,0.043942985766059026,0,0.16437665920489392,0.8890744663224355,0,15.857043276915661,52.269451578304825,0,0.15,0,5.311490625
2009,JER Pasture 12A,E,FALL,2009-10-21,2009-10-23,3,32,0.07055072778683079,0.40491021728745336,3.18571106685107,114.40228361299025,0,5.7873875991185715,30.394976739588696,0,0,0,0
2009,JER Pasture 12A,E,SPRING,2009-04-06,2009-04-06,1,32,0.11168176613878278,0,0.12951444361993247,59.62135093451847,0,3.012544350084741,23.04680000556352,0,0,0,0
2009,JER Pasture 12A,G,FALL,2009-10-23,2009-11-03,12,32,0.7983425817458485,0.03627244639047606,3.2802286788605772,122.5400690483888,0,2.654984668336289,36.38191087173921,0,0,0,232.43621249999998
2009,JER Pasture 12A,G,SPRING,2009-04-06,2009-04-06,1,32,0.22076577970599937,0,0.15791560341871547,80.42429659080477,0,1.7569486057357009,38.177395764088125,0,0,0,97.904115625
2009,JER Pasture 12A,S,FALL,2009-11-03,2009-11-03,1,32,0.020602743955179255,0.045871950005484635,0.3144006679999316,37.07382214383061,0,20.007386283980175,87.06335628599267,0,0,0,0.69158125
2009,JER Pasture 12A,S,SPRING,2009-04-07,2009-04-07,1,32,0.03313403755153969,0,0.01228888960930036,6.041444478896354,0,9.409690478608608,85.51266914052994,0,0,0,262.44608750000003
2009,JER Pasture 9,E,FALL,2009-10-27,2009-10-27,1,32,0,0.04546429794789114,1.3256024773243196,165.28028005851945,0,17.272923299465006,103.38695830921371,0,0,0,42.46993125
2009,JER Pasture 9,E,SPRING,2009-04-09,2009-04-09,1,32,0.026138771913088773,0,0.0662554796441818,35.279372047452235,0,7.034099698006394,58.955062037004815,0,0,0,38.8507375
2009,JER Pasture 9,G,FALL,2009-11-06,2009-11-06,1,32,0.03803938356299891,0.14358610860473328,1.8926665623140009,88.3324754362605,0,0.06560895136300707,17.2732602829588,0,0,0,21.206500000000002
2009,JER Pasture 9,G,SPRING,2009-04-07,2009-04-07,1,32,0.2781220990812881,0,0.1867762026837312,40.11100571968404,0,0.05774677220629751,25.01466727748489,0,0.004640289670420021,0,17.857071875000003
2009,JER Pasture 9,S,FALL,2009-10-26,2009-10-26,1,32,0,0.022288761543508277,0.5325423773279491,64.01893279356848,0,3.009810643777949,57.053910626087124,0,0,0,82.2742125
2009,JER Pasture 9,S,SPRING,2009-04-09,2009-04-09,1,32,0.0010350476435876217,0,0.10142566201311172,14.248033192021266,0,3.837631587600691,51.49520894043876,0,0,0,52.760168750000005
2010,CDRRC Pasture 3,E,FALL,2010-10-21,2010-10-21,1,32,0.41140628515865063,0.02137352121480574,3.085212820640417,61.964531209955304,0,47.618551136856375,30.73769368562115,0,0.0030461603039583208,0,0
2010,CDRRC Pasture 3,E,SPRING,2010-04-13,2010-04-13,1,32,11.068077214764624,0,1.470328229717976,11.435233820881372,0,9.590508111471042,13.237518494313676,8.6875e-5,0.0010595453834563034,0,0
2010,CDRRC Pasture 3,G,FALL,2010-10-20,2010-10-20,1,32,3.010550802080286,0.6995402692609698,1.3900915305355699,51.86924095574541,0,14.31970037623765,4.47623583357179,0,0.001849370704108443,0,18.772887500000003
2010,CDRRC Pasture 3,G,SPRING,2010-04-12,2010-04-12,1,32,28.420624455284827,2.360010231434508,1.0563440915669935,17.965059557514685,0,2.899915650244912,1.163117297510504,0,0.020758125,0,40.95578125
2010,CDRRC Pasture 3,S,FALL,2010-10-19,2010-10-19,1,32,0.13582113280827357,0.005893520104356259,7.5480336825656495,37.90769530916701,0,59.07035114381198,50.58143300223682,0,0,0,6.158250000000001
2010,CDRRC Pasture 3,S,SPRING,2010-04-13,2010-04-13,1,32,2.2986352582225518,0,1.1993222873347804,3.0906305954800493,0,12.87686007028919,24.43341444397,0,0,0,3.9515437500000004
2010,JER Pasture 12A,E,FALL,2010-10-28,2010-10-28,1,32,0.03383009437051473,0.005725133815660366,2.150156902443534,74.04750457688854,0,10.863960188800869,33.2268258653417,0,0.0036923155199494796,0,0
2010,JER Pasture 12A,E,SPRING,2010-04-08,2010-04-08,1,32,8.899951787501056,0,0.24516351347005974,41.025952935565286,0.0034212500000000002,1.8622753325347403,16.690376434828647,0,0,0,0
2010,JER Pasture 12A,G,FALL,2010-10-28,2010-10-28,1,32,0.23934758317724253,0,4.166327670692916,92.43011498885771,0,1.9596877661274528,27.9493771907686,0,0.20353889303721506,0,155.44336875000002
2010,JER Pasture 12A,G,SPRING,2010-04-08,2010-04-08,1,32,6.2720937226292905,3.1264210998523004e-4,0.36072445176714196,46.58461468521578,0,0.15906195219876756,26.552562897153262,0,0,0,160.61811875
2010,JER Pasture 12A,S,FALL,2010-11-04,2010-11-04,1,32,0,0,0.149072351470332,27.534615208451307,0,19.201553098906732,64.87890711964552,0,0.032307760799557945,0,263.07122187500005
2010,JER Pasture 12A,S,SPRING,2010-04-08,2010-04-09,2,32,1.1709577880280613,0,0.16700722128349207,6.251365925819099,0,6.330881087647231,52.857513897838444,0,0,0,237.114490625
2010,JER Pasture 9,E,FALL,2010-10-14,2010-10-14,1,32,0.8928976238401386,1.6280021695230014,2.844116006659283,164.94807926172197,0,17.266089033698027,35.998735203983735,0,0.006396084289742475,0,109.41601250000001
2010,JER Pasture 9,E,SPRING,2010-04-06,2010-04-07,2,32,4.353784232895097,0,0.13463381801290886,25.973895641830325,0.0034212500000000007,4.840027016175167,40.66445638777478,0,0.0023007262034373584,0,15.866046875
2010,JER Pasture 9,G,FALL,2010-10-12,2010-10-13,2,32,2.2646211835944667,0.3356111307340275,15.496985053837028,153.33308596402443,0,0,20.12468158409498,0,0.03337969803267589,0,10.0442375
2010,JER Pasture 9,G,SPRING,2010-04-05,2010-04-06,2,32,5.823851980746752,6.252842199704601e-5,0.23369639414355733,42.48806869275328,0,0,19.57931107211591,0,5.7375e-4,0,5.502103125
2010,JER Pasture 9,S,FALL,2010-10-13,2010-10-13,1,32,1.34540730788437,0.055901112865379424,4.311121395845467,158.8227998820744,0,2.7063586005795104,65.95231861331648,0,0.002641958148726347,0,14.21529375
2010,JER Pasture 9,S,SPRING,2010-04-07,2010-04-07,1,32,4.514289677723452,0.029075716228626397,0.37188099360095056,13.738668387972199,0,0.24111289625905097,39.4640296309401,0,3.6644315338252135e-4,0,11.802090625
2011,CDRRC Pasture 3,E,FALL,2011-10-16,2011-10-16,1,30,0.2909675421819542,0.32679783352072617,0.11634794122844766,2.4090506554290783,0,0,13.928212408512815,0,0,0,0
2011,CDRRC Pasture 3,E,SPRING,2011-04-15,2011-04-15,1,30,0,0,0,8.680158968294181,0,0.06415097466605135,20.24328353020163,0,0,0,0
2011,CDRRC Pasture 3,G,FALL,2011-10-15,2011-10-15,1,30,0.23509064218327666,0.09972560073784832,0.02802002136304178,1.1141149298157276,0,0.11372218236254558,1.7838950518686374,0,0,0,40.977666666666664
2011,CDRRC Pasture 3,G,SPRING,2011-04-15,2011-04-15,1,30,0,0,0,16.6701969058645,0,0,1.3309079260558405,0,0,0,66.95372666666667
2011,CDRRC Pasture 3,S,FALL,2011-10-17,2011-10-17,1,28,0.02586776167749991,0.24676112881934129,0.059611841233783776,0.37429357433140936,0,0.0015621178895954063,23.773436030007613,0,0,0,1.564
2011,CDRRC Pasture 3,S,SPRING,2011-04-15,2011-04-15,1,28,0,0,0,0.7397280888571005,0,0,26.197356750378567,0,0,0,1.5193142857142858
