SiteID,Pasture,Date,Year,Season,biomass_lb_ac,biomass_kg_ha,Lat,Long,_geometry,sitePhotos,ID,NDVI,DFI,NDTI,SATVI,NDII7,SAVI,RDVI,MTVI1,NCI,NDCI,PSRI,NDWI,EVI,TCBI,TCGI,TCWI,BAI_126,BAI_136,BAI_146,BAI_236,BAI_246,BAI_346,BLUE,GREEN,RED,NIR1,SWIR1,SWIR2,CPER_2022,OLS_2022,OLS,LASSO,PLS,PCR,SVR,RF,GBR
FE-01,Campbell Springs,2023-10-13,2023,October,1156.0,1295.7604,40.81234792,-105.207515,SRID=4326;POINT(-105.20751503041302 40.812347917656446),"2023_RobertsRanch_USDA-ARS-27.jpg, 2023_RobertsRanch_USDA-ARS-28.jpg",FE-01_2023-10-13,0.2622049537059751,15.99149530098454,0.1582258768111139,0.1773310373275441,-0.0126938524285527,0.1613270688975504,15.466842374021972,0.0734411898344157,0.5439783524436695,0.4141607190105641,0.1677192671466821,-0.1705972837008888,0.1493240239810143,0.3986559001500136,0.0426496059622478,-0.2544492171493961,148.68347120553918,145.27468366275227,134.82049633228016,144.68301606018065,134.10697345189806,133.12915182457104,623.2497791568734,921.2716765950591,1293.548976194101,2206.8576468320607,3115.9078348316834,2263.3142483405823,1226.6757969620626,684.3850510194626,633.2140098026715,793.980771715783,827.239689871523,717.6785910220617,775.3317616880807,947.711666652,1088.0068537588893
FE-02,Campbell Springs,2023-10-13,2023,October,1054.0,1181.4286,40.81524434,-105.2019108,SRID=4326;POINT(-105.20191083218589 40.815244337721715),"2023_RobertsRanch_USDA-ARS-25.jpg, 2023_RobertsRanch_USDA-ARS-26.jpg",FE-02_2023-10-13,0.2708507608360921,18.982582849573504,0.1977895552251232,0.1850698699327966,0.0360781752082751,0.1641299322393169,15.772799718892092,0.0783013859430472,0.5402389638942469,0.4151667760774542,0.1590306831745888,-0.1628814115177927,0.1526493955766386,0.3836278176699478,0.046077208711347,-0.2346593240539716,147.95108633030236,145.02438517075566,133.162182466358,144.68829833520675,132.30360382614637,130.6783933552352,613.9360461164883,899.8436487801622,1246.647313642293,2166.110908514097,3010.4736007607085,2014.8148146048525,1810.312796270127,921.0067325558431,754.8652264751598,1227.865151459308,1066.3639675112966,1232.887633116451,1253.2362246526427,1145.94833333,1540.1681905977603
FE-03,Upper Campbell Vally,2023-10-13,2023,October,1054.0,1181.4286,40.82179557,-105.1990793,SRID=4326;POINT(-105.19907926349288 40.8217955673524),"2023_RobertsRanch_USDA-ARS-21.jpg, 2023_RobertsRanch_USDA-ARS-22.jpg",FE-03_2023-10-13,0.2434332120346883,17.68691037395623,0.1697405298261755,0.1534285489225222,0.0331038730669578,0.1610295469568517,15.29539923902886,0.0745101444879751,0.4973757141954363,0.3682225742032585,0.1659245368310957,-0.1373739070602847,0.1522964598393289,0.4402203972640998,0.0451623288356421,-0.2517410800914224,144.47205581126016,140.74323565241372,130.40174155003118,140.16650114003113,129.9277204275141,129.32290071256034,760.8759371672312,1092.71067861094,1503.188701895678,2465.304786065082,3250.822844231654,2306.374057169769,1036.0180101180608,489.8623466464915,572.2059751265765,610.036079862994,634.866197884113,672.9522427965528,674.0174547222449,787.2233333249999,798.401064038341
FE-04,Upper Campbell Vally,2023-10-13,2023,October,986.0,1105.2074,40.82038633,-105.1969489,SRID=4326;POINT(-105.1969488811203 40.82038633308888),"2023_RobertsRanch_USDA-ARS-23.jpg, 2023_RobertsRanch_USDA-ARS-24.jpg",FE-04_2023-10-13,0.2401060191182266,16.618717066610646,0.1566727610467551,0.1690662206312707,-0.0154087929843704,0.15916882927781,15.11313041960064,0.0742831020634581,0.5172773896898787,0.3953998650838428,0.1628325988557454,-0.1716794489628544,0.1512215955522753,0.4543971615939244,0.0405645989924979,-0.28138730226627,145.8756980208744,142.95592416458285,133.14997526102698,142.9123014085415,132.83462569229755,132.20804176000158,773.1036376813978,1109.9532831999434,1512.5339588663894,2464.517899612388,3485.90539423276,2540.632381254093,746.4691453796695,433.93084148736574,406.06985064895076,477.0370968833494,548.325971879976,502.7181714106163,534.3399219793681,576.2700000005,408.3668545725629
FE-05,Horsehoe North,2023-10-13,2023,October,1088.0,1219.5392,40.82893058,-105.1809275,SRID=4326;POINT(-105.18092750364805 40.82893057841773),"2023_RobertsRanch_USDA-ARS-31.jpg, 2023_RobertsRanch_USDA-ARS-32.jpg",FE-05_2023-10-13,0.2665808652930144,19.378559064865836,0.2004284954255665,0.1636385470821286,0.0768096719215163,0.1677713729850892,16.034975176146443,0.0797359944506011,0.5126827470250758,0.3792608873764177,0.1645251212733329,-0.1255583554292088,0.153939199396793,0.3971333697833105,0.0513649236053795,-0.2228605683876027,142.31320632194883,140.1918058107659,128.91430612291126,140.92372799096432,128.64390594497394,127.4427824665426,621.6390537346291,959.2673597739866,1339.8834043049626,2305.939636231584,2966.5708406000454,1974.4733072471968,1886.5365149750278,803.44153687197,735.7429412030988,1161.0257918510638,953.5918792094221,941.6768536027936,1059.9322990602013,1085.140000005,1361.165967837669
FE-06,Horsehoe North,2023-10-13,2023,October,714.0,800.3226,40.83033399,-105.1799918,SRID=4326;POINT(-105.1799917797434 40.830333988968206),"2023_RobertsRanch_USDA-ARS-29.jpg, 2023_RobertsRanch_USDA-ARS-30.jpg",FE-06_2023-10-13,0.2486240386900362,17.983042819213495,0.1750331694160251,0.1609882740811976,0.027843311734219,0.1584055442196377,15.11817767756236,0.0773656859498425,0.4959732022529322,0.3798905630854916,0.151875817145072,-0.1469986980509411,0.1501864961451298,0.4200206335749188,0.0420936892654371,-0.2438443494277616,144.3436165161791,143.11416749208854,132.52551516687856,144.3723974177647,132.399935931332,131.0069331139686,731.7674466011969,1058.7838852520908,1413.2363700195417,2334.488269835965,3142.042370721508,2205.7680581664063,1243.7611499220013,657.0071560121673,749.294865078123,756.5561183448451,746.6500550730135,863.7932218033044,847.2435198845384,929.8283333285,1160.1082213218028
FE-07,Horsehoe North,2023-10-13,2023,October,884.0,990.8756,40.81859712,-105.1676411,SRID=4326;POINT(-105.16764109747054 40.81859712377868),"2023_RobertsRanch_USDA-ARS-33.jpg, 2023_RobertsRanch_USDA-ARS-34.jpg",FE-07_2023-10-13,0.2190819942994164,17.35594065490596,0.1565067563547427,0.1335806175857294,0.0247996553935945,0.1527068564003595,14.436636236436591,0.0747044158417996,0.4534812113696025,0.3411149977432599,0.1503242554192044,-0.1321357540745708,0.148089726841123,0.4855166527052709,0.0388553521246189,-0.2660975606740217,139.62073426277755,139.00308699184384,130.06802519043086,141.18130499383665,130.73186233609664,130.04876390300734,906.98690797063,1302.0071292666496,1701.7317719538669,2653.547467099739,3465.943962490254,2528.42124113767,666.6216777942234,346.60601542596766,521.8728423908311,361.8743392875042,430.35493674948236,630.5407895208288,525.5962572170318,571.0200000005,375.92864066483025
T-106,Red Nose,2023-10-13,2023,October,646.0,724.1014,40.87709,-105.23915,SRID=4326;POINT(-105.23915 40.87709),"2023_RobertsRanch_USDA-ARS-46.jpg, 2023_RobertsRanch_USDA-ARS-45.jpg",T-106_2023-10-13,0.2726941935092514,15.545645817448971,0.1573234041473698,0.1714156153608061,0.0035388869189706,0.1635042708759002,15.735367340874197,0.0791378687527363,0.5326491838378484,0.409251465500309,0.1556593738138082,-0.1538617608340807,0.1521607345338217,0.3766125704753619,0.0435671745655213,-0.2345021530396673,149.0718519987987,146.9477859979187,135.18169630801322,147.13910479557882,134.40250547902218,132.57039170593887,598.8315972298922,882.1341431717381,1213.0423652619115,2121.09480553138,2893.321849728893,2107.312880708604,1545.2565815011606,882.0726315388623,802.1595301507152,900.7373881534661,967.902786565232,862.7036599412987,872.1204328401726,1028.6899999900002,945.7978707390787
T-111,Horsehoe North,2023-10-13,2023,October,680.0,762.212,40.81559,-105.16849,SRID=4326;POINT(-105.16849 40.81559),"2023_RobertsRanch_USDA-ARS-54.jpg, 2023_RobertsRanch_USDA-ARS-53.jpg",T-111_2023-10-13,0.2767410466335054,16.320644637844797,0.1678919763665535,0.178535802079254,0.0227907690245266,0.1855865633471131,17.600282535396943,0.1023240474302809,0.5215279868475932,0.4055891510414885,0.1454090998000456,-0.1455628980852533,0.1765027719791907,0.4562484420564489,0.0545675825616598,-0.2768993624187089,144.23290027599586,143.0793112362387,128.5710709184275,144.49892594484731,127.98185533430927,125.67375832727087,739.1846587690821,1092.5269088766313,1470.4685043827142,2590.488895557922,3478.8129346074,2479.064995809356,732.4456673587592,415.07512067408516,323.59546506948095,392.5584737294983,563.34008338881,373.0308179479781,427.42123567499937,732.7349999894999,700.1063031620515
FE-08,CR80 West,2023-10-07,2023,October,1088.0,1219.5392,40.848061,-105.218514,SRID=4326;POINT(-105.218514 40.848061),2023_RobertsRanch_USDA-ARS-13.jpg,FE-08_2023-10-07,0.2834268058415225,17.444295592413763,0.1849387789201735,0.1796689812221571,0.0322837930781383,0.1642563907968606,15.906317250573958,0.0818857091523444,0.5367196228286525,0.4188380798884797,0.1475827742128364,-0.1536206799108583,0.1517178570293751,0.3545890451368033,0.0452814467643551,-0.2176875286796709,147.36901601435363,147.1891413303809,134.7789821402557,149.01779903809893,134.27946016465097,131.8785256209214,545.8691266325588,833.0244338896174,1132.8579895680214,2026.3284328886848,2759.5909103326394,1896.6379593530664,2137.49444754423,1223.2684614063753,919.2149911795491,1428.4928268060835,1246.802756670929,1413.0297247082099,1321.5899701509115,1198.2416666650001,1475.5574189980016
FE-09,CR80 West,2023-10-07,2023,October,2040.0,2286.636,40.84417666,-105.216554,SRID=4326;POINT(-105.21655402743436 40.84417665971506),2023_RobertsRanch_USDA-ARS-14.jpg,FE-09_2023-10-07,0.2893557812250124,15.717881771739169,0.1660188835594176,0.1927253500189039,-0.0101556389606663,0.1687380134926129,16.320100869119575,0.0869547063592973,0.5541406075214536,0.4427033852008653,0.1419270142207312,-0.1759071598649492,0.1569635424995116,0.366873005843337,0.0441994232652585,-0.2408666491281647,149.28400042376467,149.47159428361763,136.25698372739808,151.43639234788296,135.60564758718172,132.81566050780677,557.6120964111445,841.4566184283044,1134.1682483154589,2055.1246415216647,2932.123005301249,2095.420847898081,1498.0192754905495,974.0659654955583,735.568032962193,1020.9199708660152,1075.3731589504628,1146.5229749982996,1126.6542142950784,1087.81999999,1222.8306988206489
FE-10,CR80 West,2023-10-07,2023,October,884.0,990.8756,40.83741558,-105.2079236,SRID=4326;POINT(-105.2079235993641 40.83741557628499),2023_RobertsRanch_USDA-ARS-15.jpg,FE-10_2023-10-07,0.2582687301306891,16.988454424949,0.1679045398774864,0.1608047557939707,0.0311059629640497,0.1667654092033345,15.882219184440997,0.0805669060997889,0.5095139026880764,0.382224048593225,0.161013653728811,-0.1375415425548835,0.1554384100032439,0.4217576574770965,0.0477059275047623,-0.2465926431949474,143.60622137872795,141.6167284961738,130.50714316485653,142.37171448691774,130.25321345269427,129.08893627482874,683.0370574644157,1025.600608167676,1411.494484586123,2389.038587510198,3149.9287673556323,2241.828127477145,1166.5911522950476,582.5885795424316,579.6076983997458,683.0839578908118,714.6514175646201,643.7201849394554,674.0317946222566,951.8983333134997,1151.9678281415436
FE-11,CR80 South,2023-10-07,2023,October,1088.0,1219.5392,40.83654049,-105.2058977,SRID=4326;POINT(-105.20589770971465 40.8365404926462),2023_RobertsRanch_USDA-ARS-16.jpg,FE-11_2023-10-07,0.2503376958067278,16.242268531896254,0.1563343594632397,0.1672934080981258,-0.0048542113447137,0.1609750464407011,15.338217935998763,0.0761353665088587,0.5187631476488896,0.3954403963100466,0.1611064430577388,-0.1610950422153798,0.1500516476250712,0.426650491345666,0.0426249148365711,-0.2622483106470283,144.40459566670089,142.8933548235133,132.9793153266875,143.97166420039423,132.9617157985591,131.98228531679783,687.5888468594184,1033.350087204573,1413.5034043804558,2354.053987632515,3256.593993068547,2373.955308160724,979.3741453108017,551.9237495576966,537.5511941595381,644.5026783927517,661.3265626187302,569.2572857209559,580.5149039294519,761.7233333275,858.5714086231608
FE-12,CR80 South,2023-10-07,2023,October,1496.0,1676.8664,40.83674323,-105.1904097,SRID=4326;POINT(-105.19040966415317 40.83674322718163),2023_RobertsRanch_USDA-ARS-12.jpg,FE-12_2023-10-07,0.2498190392858642,16.66725704743755,0.1611328612504396,0.1642243666490907,0.0055443683325207,0.1583767829423974,15.11697584172538,0.0735087299870805,0.5154877549659093,0.3904166998846802,0.162598089444845,-0.1557457160916237,0.1474485131221618,0.4135714652535817,0.0421789502397966,-0.2503553937165669,144.80840073767865,142.98497517608223,133.24511694729557,143.79995812971453,133.15319669433566,132.27442238390068,671.640111893736,1004.6930326846552,1378.3642109672453,2293.651945683667,3138.6779134291583,2266.7401753151457,1177.6320235892279,634.6297001377715,668.4907179023753,773.7918638285246,740.1370376965012,689.5654566084007,698.9854499914471,935.2716666484998,975.1823318664734
FE-13,Mid Campbell Valley,2023-10-07,2023,October,1632.0,1829.3088,40.80787411,-105.18923,SRID=4326;POINT(-105.18922997279262 40.807874111971145),2023_RobertsRanch_USDA-ARS-17.jpg,FE-13_2023-10-07,0.2891986441600626,16.068889313223007,0.169971373296151,0.1785261775359418,0.0229968778842746,0.171729158893094,16.557678191820017,0.0872541275136367,0.539202347164199,0.4189092585371095,0.1486769972378462,-0.1475752017398089,0.1607050932064088,0.3699594671958617,0.0477381717359227,-0.2287946796173599,149.77105030193565,147.92643072535338,134.04121320511953,148.3389084296971,132.94569402279132,130.5260708588739,584.1271591654851,856.1125620058347,1172.5556818952632,2121.3005028423995,2856.335353008796,2025.2207920901856,1711.9300011431724,986.7219059554637,763.5457998746289,973.8710306109793,1072.0605346108337,1075.3594376049455,1089.4098376744514,1089.443333325,1314.7180431781208
FE-14,Mid Campbell Valley,2023-10-07,2023,October,1428.0,1600.6452,40.80604878,-105.1857773,SRID=4326;POINT(-105.18577734809142 40.806048783910114),2023_RobertsRanch_USDA-ARS-18.jpg,FE-14_2023-10-07,0.3116254070093316,17.88956022298324,0.204755293096686,0.1927730697924425,0.0702721956988753,0.1867530502604148,17.972976763067617,0.1035428754218547,0.5420266862762737,0.4303963289744776,0.1337691529932257,-0.1365450333657878,0.1765648214596901,0.3695681666545019,0.0558639844189157,-0.2226298668183844,148.72843873793457,148.18008284405656,130.85847794842172,149.64931343573528,129.52163249754278,126.04859610097472,580.677146707672,852.6047917279126,1145.6150105323818,2182.0904935556587,2879.246390631389,1899.6256902758896,2000.4135899087726,1129.4748118575399,656.1437806701981,1260.8277389864074,1217.7377477769123,1438.783153474203,1556.9256338424602,1201.6033333335001,1559.5857326818525
FE-15,Lower Campbell Valley,2023-10-07,2023,October,748.0,838.4332,40.80647096,-105.1637883,SRID=4326;POINT(-105.16378826887374 40.806470964222704),2023_RobertsRanch_USDA-ARS-20.jpg,FE-15_2023-10-07,0.2723550886958233,17.44575145483093,0.1796575024073398,0.1439677797180823,0.0959480540581259,0.1902251943033271,17.984216086548255,0.1128015961040888,0.4603355614529738,0.3494838454856955,0.1337391953861014,-0.0851863544918799,0.1849528578741161,0.4725465117312865,0.0611694752819698,-0.2440938352354921,139.05521179783156,139.263137918786,123.11141646601428,142.20467168008477,122.76479212822288,120.04520515432472,838.3280414051438,1224.1491109649985,1598.248089424263,2786.86640014464,3306.747616027158,2298.537985005056,782.9814263306864,333.909624968249,317.60806622218075,231.59387614596528,518.0173970156246,526.7020041544171,572.5157384904886,799.31999999,775.4921672298115
FE-16,Lower Campbell Valley,2023-10-07,2023,October,816.0,914.6544,40.80321532,-105.1637789,SRID=4326;POINT(-105.16377890559535 40.80321531751338),2023_RobertsRanch_USDA-ARS-19.jpg,FE-16_2023-10-07,0.2783559428007366,14.682397910177489,0.149233758854786,0.1620397037743146,0.0217501549064513,0.178218871029209,16.98903476022275,0.0869119187931674,0.5300540496679266,0.3923232236731317,0.1674185809390155,-0.1279045765204193,0.1647013210771746,0.4132449736106339,0.0529676503061162,-0.2487637407628195,146.6245661058622,142.88966887858362,130.1444268087016,142.24410572353918,129.2205728496275,127.91128187056268,630.8186255633595,949.9632788963536,1350.5377811500384,2388.0484835440834,3089.3492038321165,2285.932972433991,1102.9290683328702,560.9280193416487,484.10372718666696,519.1462334741813,716.6753821306875,440.0020463424112,453.75355858693354,858.824999987,953.0025332181286
T-103,Mid Campbell Valley,2023-10-07,2023,October,1734.0,1943.6406,40.81096,-105.19125,SRID=4326;POINT(-105.19125 40.81096),"2023_RobertsRanch_USDA-ARS-40.jpg, 2023_RobertsRanch_USDA-ARS-38.jpg, 2023_RobertsRanch_USDA-ARS-39.jpg",T-103_2023-10-07,0.30563413286455,17.198623121515503,0.1922143701853616,0.1821057101523171,0.074295360088316,0.1945522533717279,18.56119287031829,0.1090062201544641,0.5298304185564362,0.4101828786541825,0.141208949883266,-0.1196640509289942,0.1826011275021148,0.4057223748553515,0.061474120576178,-0.2367086856100202,144.84699516222835,143.98655393706562,127.1249973372112,145.55981412716656,126.10094262357444,123.0777645441262,625.036247706557,944.7008290107397,1287.278712994482,2415.3923939384267,3072.499900337136,2080.346223017267,1397.0621558123617,695.9149409668869,440.6689180636109,737.6371898329601,884.246913563249,714.3848667558764,981.1763661575095,1049.7799999899999,1249.832310681122
T-104,Lower Campbell Valley,2023-10-07,2023,October,850.0,952.765,40.79993,-105.1617,SRID=4326;POINT(-105.1617 40.79993),"2023_RobertsRanch_USDA-ARS-42.jpg, 2023_RobertsRanch_USDA-ARS-41.jpg",T-104_2023-10-07,0.3210052926389526,14.640318993959967,0.1655681109062419,0.1752970207951755,0.0558207050927681,0.1937745901842817,18.631091648982608,0.1076169073183864,0.5366450892272264,0.4172324107045279,0.1378567677278118,-0.1107416061157606,0.1825240705455652,0.3721392570186661,0.0586266781917755,-0.2221460636398074,149.7806326179859,148.34063543413495,130.30496678214126,149.03200563365814,128.746868209553,125.38164465066768,572.5070284716995,843.8751477948689,1152.8362092005275,2234.8836598787857,2794.7205576567003,2000.0085302043017,1677.0871509823755,954.0410470375664,615.8094716318619,667.1617007336032,1044.3245007458363,834.440381971225,951.1922003359504,1041.743333325,1197.0474778690707
T-105,Horseshoe South,2023-10-07,2023,October,612.0,685.9908,40.80374,-105.14214,SRID=4326;POINT(-105.14214 40.80374),"2023_RobertsRanch_USDA-ARS-44.jpg, 2023_RobertsRanch_USDA-ARS-43.jpg",T-105_2023-10-07,0.2759728775817408,16.95350069360591,0.1752188729264361,0.1564289970742199,0.0671163635068091,0.1789347783514791,17.029655742682994,0.1020564722734257,0.4793303565160255,0.3741013515508658,0.129363293074421,-0.1093944433361698,0.1708702742597753,0.4191371467954166,0.0527132680971195,-0.231068178976122,141.12139160267284,143.1484288394675,128.50154354807347,147.45181634603233,128.467468736907,125.37683732906646,711.4630116196595,1068.2986817367212,1384.502804140363,2435.782771976432,3035.098262700953,2129.7179641665507,1256.0318738720807,675.2533465853444,623.7187459514142,570.4953845964637,744.9062523388142,731.3734117418865,806.6451620768929,915.53666666,1067.1347040389535
T-112,CR80 West,2023-10-07,2023,October,1054.0,1181.4286,40.84739,-105.22089,SRID=4326;POINT(-105.22089 40.84739),"2023_RobertsRanch_USDA-ARS-55.jpg, 2023_RobertsRanch_USDA-ARS-56.jpg, 2023_RobertsRanch_USDA-ARS-1.jpg, 2023_RobertsRanch_USDA-ARS-2.jpg",T-112_2023-10-07,0.2698448927298866,15.83464539284454,0.1595089352849253,0.1709696600285677,0.00797686750896,0.1658149147691182,15.896966617715629,0.085167684983637,0.5184809806847442,0.4051846857966236,0.1442220139277435,-0.1517914508625041,0.1553643591091975,0.3929440271453149,0.0441627838547128,-0.2407294517290246,145.72753620186043,146.0442673062793,133.99548485683562,148.38640236706067,133.7878012069454,131.48265034131535,633.0708631916144,951.22064626876,1270.1123193460587,2207.020555343946,2996.405173221473,2170.424781764834,1330.3611034237192,800.4721260334071,736.172579545915,833.8457097922649,857.5230560005498,794.3421779576479,814.4517581339823,997.7483333199999,1000.1453738607511
FE-17,10Mile,2023-10-06,2023,October,476.0,533.5484,40.86874134,-105.2525244,SRID=4326;POINT(-105.25252439006051 40.868741344861846),2023_RobertsRanch_USDA-ARS-10.jpg,FE-17_2023-10-06,0.2931029744528554,13.577554777589873,0.141786070767136,0.1793241190780355,-0.0107883446514553,0.1769708231392597,17.011065518839555,0.0906097114728967,0.5514785956290689,0.4276821593142984,0.1522060176035853,-0.1525913603658217,0.164313675814095,0.3807564379576874,0.0487076267526502,-0.246020745239635,149.7151951036373,148.0620343007187,134.28433603063914,148.64682511558095,133.2895749794285,130.94250761446176,566.8816921901143,855.3402531507637,1185.810002109492,2173.0530042654536,2953.881348077916,2217.612959395246,1257.1784013426916,778.3290428273839,645.5705269681745,690.6686903411097,891.2364827153536,637.7715925010293,679.958701232339,960.7416666625,1145.962413407281
